# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
| 308|       3|      0|    1.00|  1.00|                 2|              2|              2|               0|      3|             3|         1.00|
| 309|       3|      0|    0.67|  1.00|                 2|              3|              2|               0|      3|             3|         1.00|

=================================================================================================================================================
Number of sentence:	310.00
Number of Error sentence:	0.00
Number of Skip  sentence:	0.00
Number of Valid sentence:	310.00
Bracketing Recall:	46.36
Bracketing Precision:	42.73
Bracketing FMeasure:	44.47
Complete match:	6.45
Average crossing:	5.04
No crossing:	32.26
Tagging accuracy:	86.17
